@ pixel(0,99), Ray: origin=[ -5.2735, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(1,99), Ray: origin=[ -5.2205, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(2,99), Ray: origin=[ -5.1675, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(3,99), Ray: origin=[ -5.1145, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(4,99), Ray: origin=[ -5.0615, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(5,99), Ray: origin=[ -5.0085, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(6,99), Ray: origin=[ -4.9555, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(7,99), Ray: origin=[ -4.9025, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(8,99), Ray: origin=[ -4.8495, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(9,99), Ray: origin=[ -4.7965, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(10,99), Ray: origin=[ -4.7435, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(11,99), Ray: origin=[ -4.6905, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(12,99), Ray: origin=[ -4.6375, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(13,99), Ray: origin=[ -4.5845, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(14,99), Ray: origin=[ -4.5315, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(15,99), Ray: origin=[ -4.4785, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(16,99), Ray: origin=[ -4.4255, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(17,99), Ray: origin=[ -4.3725, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(18,99), Ray: origin=[ -4.3195, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(19,99), Ray: origin=[ -4.2665, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(20,99), Ray: origin=[ -4.2135, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(21,99), Ray: origin=[ -4.1605, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(22,99), Ray: origin=[ -4.1075, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(23,99), Ray: origin=[ -4.0545, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(24,99), Ray: origin=[ -4.0015, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(25,99), Ray: origin=[ -3.9485, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(26,99), Ray: origin=[ -3.8955, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(27,99), Ray: origin=[ -3.8425, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(28,99), Ray: origin=[ -3.7895, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(29,99), Ray: origin=[ -3.7365, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(30,99), Ray: origin=[ -3.6835, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(31,99), Ray: origin=[ -3.6305, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(32,99), Ray: origin=[ -3.5775, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(33,99), Ray: origin=[ -3.5245, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(34,99), Ray: origin=[ -3.4715, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(35,99), Ray: origin=[ -3.4185, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(36,99), Ray: origin=[ -3.3655, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(37,99), Ray: origin=[ -3.3125, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(38,99), Ray: origin=[ -3.2595, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(39,99), Ray: origin=[ -3.2065, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(40,99), Ray: origin=[ -3.1535, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(41,99), Ray: origin=[ -3.1005, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(42,99), Ray: origin=[ -3.0475, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(43,99), Ray: origin=[ -2.9945, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(44,99), Ray: origin=[ -2.9415, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(45,99), Ray: origin=[ -2.8885, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(46,99), Ray: origin=[ -2.8355, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(47,99), Ray: origin=[ -2.7825, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(48,99), Ray: origin=[ -2.7295, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(49,99), Ray: origin=[ -2.6765, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(50,99), Ray: origin=[ -2.6235, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(51,99), Ray: origin=[ -2.5705, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(52,99), Ray: origin=[ -2.5175, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(53,99), Ray: origin=[ -2.4645, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(54,99), Ray: origin=[ -2.4115, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(55,99), Ray: origin=[ -2.3585, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(56,99), Ray: origin=[ -2.3055, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(57,99), Ray: origin=[ -2.2525, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(58,99), Ray: origin=[ -2.1995, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(59,99), Ray: origin=[ -2.1465, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(60,99), Ray: origin=[ -2.0935, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(61,99), Ray: origin=[ -2.0405, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(62,99), Ray: origin=[ -1.9875, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(63,99), Ray: origin=[ -1.9345, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(64,99), Ray: origin=[ -1.8815, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(65,99), Ray: origin=[ -1.8285, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(66,99), Ray: origin=[ -1.7755, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(67,99), Ray: origin=[ -1.7225, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(68,99), Ray: origin=[ -1.6695, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(69,99), Ray: origin=[ -1.6165, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(70,99), Ray: origin=[ -1.5635, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(71,99), Ray: origin=[ -1.5105, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(72,99), Ray: origin=[ -1.4575, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(73,99), Ray: origin=[ -1.4045, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(74,99), Ray: origin=[ -1.3515, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(75,99), Ray: origin=[ -1.2985, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(76,99), Ray: origin=[ -1.2455, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(77,99), Ray: origin=[ -1.1925, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(78,99), Ray: origin=[ -1.1395, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(79,99), Ray: origin=[ -1.0865, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(80,99), Ray: origin=[ -1.0335, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(81,99), Ray: origin=[ -0.9805, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(82,99), Ray: origin=[ -0.9275, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(83,99), Ray: origin=[ -0.8745, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(84,99), Ray: origin=[ -0.8215, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(85,99), Ray: origin=[ -0.7685, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(86,99), Ray: origin=[ -0.7155, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
